number,position,positionText,points,grid,laps,status,Q1,Q2,Q3,year,gpName,gpNumber,sessionName,driverId,code,DriverNationality,constructorId,constructorNationality,fastestLapNumber,fastestLapRank,fastestLapAvgSpeed,fastestLapTime,totalTime,TimeInterval
44,1,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,HAM,,,,17.0,1,,0 days 00:01:24.026000,,
77,2,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,BOT,,,,9.0,2,,0 days 00:01:24.577000,,
33,3,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,VER,,,,12.0,3,,0 days 00:01:24.771000,,
7,4,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,RAI,,,,17.0,4,,0 days 00:01:24.875000,,
5,5,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,VET,,,,17.0,5,,0 days 00:01:24.995000,,
3,6,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,RIC,,,,9.0,6,,0 days 00:01:25.063000,,
8,7,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,GRO,,,,14.0,7,,0 days 00:01:25.730000,,
14,8,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,ALO,,,,9.0,8,,0 days 00:01:25.896000,,
55,9,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,SAI,,,,16.0,9,,0 days 00:01:25.922000,,
2,10,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,VAN,,,,12.0,10,,0 days 00:01:26.482000,,
10,11,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,GAS,,,,13.0,11,,0 days 00:01:26.494000,,
35,12,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,SIR,,,,18.0,12,,0 days 00:01:26.536000,,
27,13,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,HUL,,,,15.0,13,,0 days 00:01:26.583000,,
31,14,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,OCO,,,,19.0,14,,0 days 00:01:26.605000,,
18,15,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,STR,,,,13.0,15,,0 days 00:01:26.636000,,
11,16,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,PER,,,,17.0,16,,0 days 00:01:26.767000,,
20,17,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,MAG,,,,9.0,17,,0 days 00:01:27.035000,,
28,18,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,HAR,,,,13.0,18,,0 days 00:01:27.745000,,
9,19,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,ERI,,,,18.0,19,,0 days 00:01:27.964000,,
16,20,,,,,,,,,2018,Australian Grand Prix,1,Practice 1,,LEC,,,,23.0,20,,0 days 00:01:28.853000,,
44,1,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,HAM,,,,9.0,1,,0 days 00:01:23.931000,,
33,2,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,VER,,,,10.0,2,,0 days 00:01:24.058000,,
77,3,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,BOT,,,,6.0,3,,0 days 00:01:24.159000,,
7,4,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,RAI,,,,9.0,4,,0 days 00:01:24.214000,,
5,5,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,VET,,,,9.0,5,,0 days 00:01:24.460000,,
8,6,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,GRO,,,,12.0,6,,0 days 00:01:24.648000,,
3,7,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,RIC,,,,9.0,7,,0 days 00:01:24.721000,,
14,8,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,ALO,,,,11.0,8,,0 days 00:01:25.200000,,
20,9,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,MAG,,,,12.0,9,,0 days 00:01:25.246000,,
2,10,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,VAN,,,,14.0,10,,0 days 00:01:25.285000,,
55,11,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,SAI,,,,11.0,11,,0 days 00:01:25.390000,,
11,12,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,PER,,,,12.0,12,,0 days 00:01:25.413000,,
27,13,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,HUL,,,,9.0,13,,0 days 00:01:25.471000,,
18,14,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,STR,,,,12.0,14,,0 days 00:01:25.543000,,
31,15,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,OCO,,,,17.0,15,,0 days 00:01:25.888000,,
28,16,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,HAR,,,,12.0,16,,0 days 00:01:25.925000,,
10,17,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,GAS,,,,10.0,17,,0 days 00:01:25.945000,,
35,18,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,SIR,,,,15.0,18,,0 days 00:01:25.974000,,
9,19,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,ERI,,,,9.0,19,,0 days 00:01:26.814000,,
16,20,,,,,,,,,2018,Australian Grand Prix,1,Practice 2,,LEC,,,,10.0,20,,0 days 00:01:26.815000,,
7,1,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,RAI,,,,11.0,1,,0 days 00:01:29.817000,,
5,2,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,VET,,,,10.0,2,,0 days 00:01:29.828000,,
77,3,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,BOT,,,,5.0,3,,0 days 00:01:30.380000,,
44,4,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,HAM,,,,7.0,4,,0 days 00:01:30.472000,,
33,5,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,VER,,,,12.0,5,,0 days 00:01:30.745000,,
3,6,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,RIC,,,,2.0,6,,0 days 00:01:30.751000,,
27,7,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,HUL,,,,8.0,7,,0 days 00:01:31.220000,,
10,8,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,GAS,,,,9.0,8,,0 days 00:01:31.232000,,
14,9,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,ALO,,,,7.0,9,,0 days 00:01:31.282000,,
2,10,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,VAN,,,,9.0,10,,0 days 00:01:31.422000,,
8,11,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,GRO,,,,10.0,11,,0 days 00:01:31.591000,,
55,12,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,SAI,,,,9.0,12,,0 days 00:01:31.601000,,
31,13,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,OCO,,,,10.0,13,,0 days 00:01:31.809000,,
11,14,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,PER,,,,12.0,14,,0 days 00:01:31.868000,,
20,15,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,MAG,,,,12.0,15,,0 days 00:01:31.969000,,
16,16,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,LEC,,,,11.0,16,,0 days 00:01:32.372000,,
18,17,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,STR,,,,13.0,17,,0 days 00:01:32.382000,,
35,18,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,SIR,,,,13.0,18,,0 days 00:01:32.474000,,
9,19,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,ERI,,,,12.0,19,,0 days 00:01:32.733000,,
28,20,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 2,,HAR,,,,13.0,20,,0 days 00:01:32.908000,,
7,1,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,RAI,,,,11.0,1,,0 days 00:01:29.868000,,
33,2,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,VER,,,,7.0,2,,0 days 00:01:30.393000,,
3,3,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,RIC,,,,7.0,3,,0 days 00:01:30.452000,,
44,4,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,HAM,,,,10.0,4,,0 days 00:01:30.691000,,
5,5,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,VET,,,,5.0,5,,0 days 00:01:30.719000,,
77,6,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,BOT,,,,2.0,6,,0 days 00:01:30.781000,,
27,7,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,HUL,,,,10.0,7,,0 days 00:01:31.144000,,
55,8,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,SAI,,,,12.0,8,,0 days 00:01:31.200000,,
10,9,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,GAS,,,,14.0,9,,0 days 00:01:31.438000,,
14,10,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,ALO,,,,10.0,10,,0 days 00:01:31.445000,,
28,11,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,HAR,,,,15.0,11,,0 days 00:01:31.460000,,
8,12,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,GRO,,,,11.0,12,,0 days 00:01:31.513000,,
31,13,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,OCO,,,,13.0,13,,0 days 00:01:31.554000,,
11,14,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,PER,,,,10.0,14,,0 days 00:01:31.564000,,
20,15,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,MAG,,,,11.0,15,,0 days 00:01:31.737000,,
9,16,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,ERI,,,,14.0,16,,0 days 00:01:31.859000,,
2,17,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,VAN,,,,11.0,17,,0 days 00:01:31.860000,,
16,18,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,LEC,,,,16.0,18,,0 days 00:01:32.047000,,
35,19,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,SIR,,,,8.0,19,,0 days 00:01:32.463000,,
18,20,,,,,,,,,2018,Bahrain Grand Prix,2,Practice 3,,STR,,,,10.0,20,,0 days 00:01:32.865000,,
44,1,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,HAM,,,,10.0,1,,0 days 00:01:33.999000,,
7,2,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,RAI,,,,12.0,2,,0 days 00:01:34.358000,,
77,3,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,BOT,,,,17.0,3,,0 days 00:01:34.457000,,
3,4,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,RIC,,,,12.0,4,,0 days 00:01:34.537000,,
33,5,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,VER,,,,13.0,5,,0 days 00:01:34.668000,,
5,6,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,VET,,,,9.0,6,,0 days 00:01:34.861000,,
20,7,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,MAG,,,,11.0,7,,0 days 00:01:35.178000,,
55,8,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,SAI,,,,11.0,8,,0 days 00:01:35.616000,,
8,9,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,GRO,,,,12.0,9,,0 days 00:01:35.718000,,
27,10,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,HUL,,,,11.0,10,,0 days 00:01:35.800000,,
10,11,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,GAS,,,,12.0,11,,0 days 00:01:36.037000,,
14,12,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,ALO,,,,13.0,12,,0 days 00:01:36.044000,,
11,13,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,PER,,,,13.0,13,,0 days 00:01:36.051000,,
31,14,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,OCO,,,,16.0,14,,0 days 00:01:36.351000,,
35,15,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,SIR,,,,14.0,15,,0 days 00:01:36.691000,,
28,16,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,HAR,,,,13.0,16,,0 days 00:01:36.715000,,
16,17,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,LEC,,,,15.0,17,,0 days 00:01:36.723000,,
2,18,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,VAN,,,,13.0,18,,0 days 00:01:36.756000,,
9,19,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,ERI,,,,13.0,19,,0 days 00:01:36.909000,,
18,20,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,,STR,,,,15.0,20,,0 days 00:01:37.277000,,
44,1,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,HAM,,,,7.0,1,,0 days 00:01:33.482000,,
7,2,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,RAI,,,,10.0,2,,0 days 00:01:33.489000,,
77,3,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,BOT,,,,7.0,3,,0 days 00:01:33.515000,,
5,4,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,VET,,,,8.0,4,,0 days 00:01:33.590000,,
33,5,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,VER,,,,7.0,5,,0 days 00:01:33.823000,,
27,6,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,HUL,,,,7.0,6,,0 days 00:01:34.313000,,
20,7,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,MAG,,,,11.0,7,,0 days 00:01:34.458000,,
55,8,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,SAI,,,,9.0,8,,0 days 00:01:34.473000,,
3,9,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,RIC,,,,9.0,9,,0 days 00:01:34.557000,,
14,10,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,ALO,,,,8.0,10,,0 days 00:01:34.632000,,
11,11,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,PER,,,,7.0,11,,0 days 00:01:34.792000,,
10,12,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,GAS,,,,9.0,12,,0 days 00:01:34.849000,,
31,13,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,OCO,,,,8.0,13,,0 days 00:01:34.874000,,
2,14,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,VAN,,,,7.0,14,,0 days 00:01:35.163000,,
28,15,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,HAR,,,,9.0,15,,0 days 00:01:35.333000,,
35,16,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,SIR,,,,9.0,16,,0 days 00:01:35.340000,,
9,17,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,ERI,,,,11.0,17,,0 days 00:01:35.624000,,
16,18,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,LEC,,,,11.0,18,,0 days 00:01:35.916000,,
8,19,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,GRO,,,,6.0,19,,0 days 00:01:36.471000,,
18,20,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,,STR,,,,5.0,20,,0 days 00:01:37.147000,,
5,1,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,VET,,,,8.0,1,,0 days 00:01:33.018000,,
7,2,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,RAI,,,,9.0,2,,0 days 00:01:33.469000,,
77,3,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,BOT,,,,13.0,3,,0 days 00:01:33.761000,,
33,4,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,VER,,,,9.0,4,,0 days 00:01:33.969000,,
44,5,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,HAM,,,,10.0,5,,0 days 00:01:34.057000,,
20,6,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,MAG,,,,21.0,6,,0 days 00:01:34.329000,,
11,7,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,PER,,,,10.0,7,,0 days 00:01:34.445000,,
31,8,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,OCO,,,,11.0,8,,0 days 00:01:34.456000,,
55,9,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,SAI,,,,10.0,9,,0 days 00:01:34.582000,,
35,10,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,SIR,,,,10.0,10,,0 days 00:01:34.741000,,
27,11,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,HUL,,,,8.0,11,,0 days 00:01:34.841000,,
14,12,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,ALO,,,,12.0,12,,0 days 00:01:34.851000,,
2,13,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,VAN,,,,13.0,13,,0 days 00:01:34.977000,,
28,14,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,HAR,,,,16.0,14,,0 days 00:01:34.991000,,
3,15,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,RIC,,,,2.0,15,,0 days 00:01:35.061000,,
10,16,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,GAS,,,,13.0,16,,0 days 00:01:35.079000,,
18,17,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,STR,,,,13.0,17,,0 days 00:01:35.375000,,
16,18,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,LEC,,,,10.0,18,,0 days 00:01:35.497000,,
9,19,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,ERI,,,,10.0,19,,0 days 00:01:35.679000,,
8,20,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,,GRO,,,,3.0,20,,0 days 00:01:35.756000,,
77,1,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,BOT,,,,16.0,1,,0 days 00:01:44.242000,,
3,2,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,RIC,,,,17.0,2,,0 days 00:01:44.277000,,
11,3,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,PER,,,,25.0,3,,0 days 00:01:45.075000,,
44,4,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,HAM,,,,15.0,4,,0 days 00:01:45.200000,,
31,5,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,OCO,,,,21.0,5,,0 days 00:01:45.237000,,
33,6,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,VER,,,,9.0,6,,0 days 00:01:45.559000,,
14,7,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,ALO,,,,16.0,7,,0 days 00:01:46.465000,,
35,8,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,SIR,,,,17.0,8,,0 days 00:01:46.480000,,
10,9,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,GAS,,,,17.0,9,,0 days 00:01:46.492000,,
5,10,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,VET,,,,14.0,10,,0 days 00:01:46.513000,,
18,11,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,STR,,,,18.0,11,,0 days 00:01:46.590000,,
28,12,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,HAR,,,,25.0,12,,0 days 00:01:46.747000,,
27,13,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,HUL,,,,9.0,13,,0 days 00:01:46.749000,,
8,14,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,GRO,,,,22.0,14,,0 days 00:01:46.856000,,
7,15,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,RAI,,,,9.0,15,,0 days 00:01:46.861000,,
16,16,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,LEC,,,,13.0,16,,0 days 00:01:46.875000,,
9,17,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,ERI,,,,15.0,17,,0 days 00:01:47.073000,,
20,18,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,MAG,,,,8.0,18,,0 days 00:01:47.434000,,
2,19,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,VAN,,,,11.0,19,,0 days 00:01:47.967000,,
55,20,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 1,,SAI,,,,5.0,20,,0 days 00:01:48.741000,,
3,1,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,RIC,,,,16.0,1,,0 days 00:01:42.795000,,
7,2,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,RAI,,,,12.0,2,,0 days 00:01:42.864000,,
33,3,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,VER,,,,10.0,3,,0 days 00:01:42.911000,,
77,4,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,BOT,,,,9.0,4,,0 days 00:01:43.570000,,
44,5,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,HAM,,,,9.0,5,,0 days 00:01:43.603000,,
14,6,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,ALO,,,,14.0,6,,0 days 00:01:43.700000,,
31,7,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,OCO,,,,13.0,7,,0 days 00:01:43.814000,,
55,8,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,SAI,,,,13.0,8,,0 days 00:01:43.834000,,
20,9,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,MAG,,,,12.0,9,,0 days 00:01:43.977000,,
27,10,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,HUL,,,,11.0,10,,0 days 00:01:44.091000,,
5,11,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,VET,,,,11.0,11,,0 days 00:01:44.127000,,
11,12,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,PER,,,,11.0,12,,0 days 00:01:44.142000,,
8,13,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,GRO,,,,11.0,13,,0 days 00:01:44.425000,,
18,14,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,STR,,,,16.0,14,,0 days 00:01:44.459000,,
10,15,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,GAS,,,,16.0,15,,0 days 00:01:44.712000,,
16,16,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,LEC,,,,11.0,16,,0 days 00:01:44.940000,,
35,17,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,SIR,,,,13.0,17,,0 days 00:01:45.007000,,
28,18,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,HAR,,,,12.0,18,,0 days 00:01:45.051000,,
2,19,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,VAN,,,,6.0,19,,0 days 00:01:45.288000,,
9,20,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 2,,ERI,,,,6.0,20,,0 days 00:01:46.042000,,
5,1,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,VET,,,,12.0,1,,0 days 00:01:43.091000,,
44,2,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,HAM,,,,13.0,2,,0 days 00:01:43.452000,,
7,3,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,RAI,,,,10.0,3,,0 days 00:01:43.493000,,
33,4,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,VER,,,,16.0,4,,0 days 00:01:43.519000,,
77,5,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,BOT,,,,13.0,5,,0 days 00:01:43.569000,,
11,6,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,PER,,,,6.0,6,,0 days 00:01:43.936000,,
20,7,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,MAG,,,,10.0,7,,0 days 00:01:43.958000,,
18,8,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,STR,,,,2.0,8,,0 days 00:01:44.123000,,
31,9,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,OCO,,,,6.0,9,,0 days 00:01:44.220000,,
35,10,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,SIR,,,,4.0,10,,0 days 00:01:44.534000,,
14,11,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,ALO,,,,6.0,11,,0 days 00:01:44.763000,,
3,12,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,RIC,,,,4.0,12,,0 days 00:01:44.861000,,
10,13,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,GAS,,,,15.0,13,,0 days 00:01:44.905000,,
16,14,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,LEC,,,,9.0,14,,0 days 00:01:45.218000,,
8,15,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,GRO,,,,8.0,15,,0 days 00:01:45.261000,,
55,16,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,SAI,,,,9.0,16,,0 days 00:01:45.432000,,
27,17,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,HUL,,,,10.0,17,,0 days 00:01:45.456000,,
2,18,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,VAN,,,,12.0,18,,0 days 00:01:45.505000,,
9,19,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,ERI,,,,14.0,19,,0 days 00:01:45.910000,,
28,20,,,,,,,,,2018,Azerbaijan Grand Prix,4,Practice 3,,HAR,,,,7.0,20,,0 days 00:01:46.186000,,
44,1,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,HAM,,,,6.0,1,,0 days 00:01:18.259000,,
3,2,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,RIC,,,,10.0,2,,0 days 00:01:18.392000,,
33,3,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,VER,,,,9.0,3,,0 days 00:01:18.533000,,
5,4,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,VET,,,,11.0,4,,0 days 00:01:18.585000,,
77,5,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,BOT,,,,10.0,5,,0 days 00:01:18.611000,,
7,6,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,RAI,,,,7.0,6,,0 days 00:01:18.829000,,
8,7,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,GRO,,,,10.0,7,,0 days 00:01:19.579000,,
20,8,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,MAG,,,,13.0,8,,0 days 00:01:19.643000,,
2,9,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,VAN,,,,14.0,9,,0 days 00:01:19.722000,,
11,10,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,PER,,,,11.0,10,,0 days 00:01:19.962000,,
31,11,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,OCO,,,,16.0,11,,0 days 00:01:20.024000,,
14,12,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,ALO,,,,8.0,12,,0 days 00:01:20.035000,,
27,13,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,HUL,,,,16.0,13,,0 days 00:01:20.183000,,
10,14,,,,,,,,,2018,Spanish Grand Prix,5,Practice 2,,GAS,,,,12.0,14,,0 days 00:01:20.373000,,
